"description","neighborhood_overview","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_neighbourhood","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","amenities","price","minimum_nights","maximum_nights","has_availability","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","reviews_per_month"
"A private room in a bright, cozy, simple decorated townhouse with free parking in a safe & silent neighborhood. The location of our house is very lovely. Transportation is very easy we are 5 minutes to the bus stop 15 minutes to the center. I live with my daughter and wife. We are a happy family. We will be happy to serve you in our house.<br /><br /><b>Other things to note</b><br />Please call me when you get close to home. I will be home and I want to welcome you.","","within an hour","100%","91%","f","",2,2,"t","f","College",NA,45.34846,-75.76973,"Private room in townhouse","Private room",1,NA,1,1,"[""Essentials"", ""Free street parking"", ""Hair dryer"", ""Host greets you"", ""Wifi"", ""Microwave"", ""Body soap"", ""Heating"", ""Iron"", ""Shampoo"", ""Hot water"", ""Hangers"", ""Extra pillows and blankets"", ""Mini fridge"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Dedicated workspace""]","$35.00",2,16,"t",81,66,1,"2020-01-05","2021-01-16",95,10,10,9,9,10,10,"f",1,0,1,5.99
"Cozy studio apartment in the heart of Centretown! A quiet enclave in one of Ottawa's most vibrant neighborhoods. Minutes to Parliament, Museum the ByWard Market, Rideau Canal, Elgin Street, and Winterlude attractions.<br /><br /><b>The space</b><br />Tidy studio apartment with fully equipped kitchen, queen size bed, sofa, and large shower/bath. Token operated laundry available in building. Parking out back included.","Located in the heart of Centretown just one block from one of the most vibrant streets in Ottawa filled with Bars, Restaurants, Cafes, and shops. Minutes from the ByWard Market, Rideau Canal, shopping, and Parliament.","N/A","N/A","67%","f","",1,1,"t","f","Somerset",NA,45.41868,-75.69333,"Entire apartment","Entire home/apt",2,NA,1,1,"[""Hair dryer"", ""Wifi"", ""Microwave"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Dishes and silverware"", ""Stove"", ""Oven""]","$80.00",2,40,"t",7,2,0,"2020-01-17","2020-02-28",83,9,7,10,10,10,9,"t",1,1,0,0.53
"Location Location Location <br />We are 100% Fragrant Free and Smoke Free, NO chemicals. <br />A very clean and charming pied a terre in the the downtown core close to the Byward Market, Parliament Hill and all the other tourist attractions the city has to offer. Extensive upgrades to bathroom and kitchen. New appliances and washer/dryer. Private entry. <br />Parents visiting student of University of Ottawa will surely love this Space.<br /><br /><b>The space</b><br />Fantastic One Bedroom one and half bathroom condominium in amazing location!  Seconds to downtown , parliament and Bayward market .The gorgeous, sun-filled main floor is sure to impress. With an open-concept design, plus sleek and modern finishes, this property is perfect for entertaining. This idyllic kitchen provides high-end stainless steel appliances, a large island with seating, and ample storage space. the master bedroom boasts natural sunlight and large windows that flood the room with natural sunlight with en-suit","","within an hour","100%","95%","f","",9,9,"t","t","Rideau-Vanier",NA,45.42835,-75.68513,"Entire condominium","Entire home/apt",4,NA,1,3,"[""Game console"", ""Coffee maker"", ""Hair dryer"", ""Cable TV"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Elevator"", ""Children\u2019s books and toys"", ""Ethernet connection"", ""Baby bath"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Essentials"", ""Children\u2019s dinnerware"", ""Washer"", ""Dryer"", ""Private entrance"", ""Bathtub"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Babysitter recommendations"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Fireplace guards"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Paid parking off premises"", ""Dishwasher""]","$250.00",1,1125,"t",3,2,0,"2020-01-31","2020-11-10",73,7,7,9,7,9,7,"t",5,5,0,0.24
"Clean and specious  room","A town home (two room available); the two rooms are upstairs (second level), shared a full bath room; two  half bath room downstairs; furnished with double bed; linen and towel; swivel chair, table and lamp. a short walk to major grocery store, banks, plaza (Metro, Dollarama, Shoppers, LCBO, TD, RBC )and bus stop (#38); walking distance to Romantic Fireplace Kitchen and BBO. I also hosting international  university student","within an hour","100%","98%","f","",0,0,"t","f","Orleans",NA,45.47614,-75.53548,"Private room in house","Private room",1,NA,1,1,"[""Wifi"", ""Heating"", ""Free parking on premises"", ""Long term stays allowed"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Dedicated workspace""]","$35.00",1,1125,"t",8,8,0,"2020-07-04","2020-12-20",90,9,10,10,10,10,9,"t",3,0,3,1.07
"A new all white, modern-styled home with aluminum furniture with abundance of natural light.","","within an hour","100%","92%","t","",2,2,"t","t","Rideau-Goulbourn",NA,45.24324,-75.91254,"Private room in townhouse","Private room",2,NA,1,1,"[""Essentials"", ""TV"", ""Free street parking"", ""Washer"", ""Dryer"", ""Indoor fireplace"", ""Wifi"", ""Heating"", ""Iron"", ""Free parking on premises"", ""Shampoo"", ""Long term stays allowed"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Garden or backyard""]","$41.00",6,30,"t",4,4,0,"2020-05-08","2020-11-16",100,10,10,10,10,10,10,"f",1,0,1,0.43
"Cozy apt with wifi,40” tv, juicer, coffee maker, blender. I also have a chrome cast for easy streaming and a google home to help answer any questions you might have in the area. The walk out patio is 20’ 10’ which is a nice space to check the weather or if someone is a smoker (cannabis or tobacco) the unit is 5 minute walk to the canal and winterlude, grocery store, Rideau center mall, the liquor store and the famous byward market. Also steps away from the parliament buildings!<br /><br /><b>The space</b><br />Private patio<br /><br /><b>Guest access</b><br />Laundry services available<br /><br /><b>Other things to note</b><br />The apt has great heat and high pressure water. Perfect downtown space to cook and relax or grab a bite or drink in the byward market. Not equipped to host guests with children","Sandy hill close to Rideau center","N/A","N/A","44%","f","",1,1,"t","t","Rideau-Vanier",NA,45.42634,-75.68412,"Entire apartment","Entire home/apt",2,NA,NA,1,"[""Essentials"", ""TV"", ""Free street parking"", ""Washer"", ""Dryer"", ""Wifi"", ""Kitchen"", ""Heating"", ""Patio or balcony"", ""Free parking on premises"", ""Shampoo"", ""Long term stays allowed"", ""Hot water"", ""Hangers"", ""Elevator"", ""Smoke alarm"", ""Air conditioning"", ""Fire extinguisher"", ""Dedicated workspace""]","$120.00",2,1125,"t",3,3,0,"2020-02-18","2020-03-13",100,10,9,10,10,10,9,"f",1,1,0,0.25
"*SAVE 15% ON EXTENDED STAYS*<br />***Executive Suite***Centrally located at Lisgar Street and O’Connor, Soho-Lisgar is a highly sought after building in Centretown.  Walk to Parliment, Byward and Rideau Centre.  With floor to ceiling windows, this sun-filled unit is located on the 7th floor offering 1-bedroom plus den.  In-suite laundry.  Enjoy low-maintenance, sophisticated living with Concierge service, outdoor pool, hot tub, terrace with BBQ, party lounge, conference room, theatre, gym and sauna.","","N/A","N/A","100%","f","",0,0,"t","t","Somerset",NA,45.41579,-75.69743,"Entire condominium","Entire home/apt",2,NA,1,1,"[""Gym"", ""Coffee maker"", ""Cable TV"", ""Wifi"", ""Microwave"", ""Refrigerator"", ""Hot tub"", ""Iron"", ""Hangers"", ""Smoke alarm"", ""Essentials"", ""Paid parking on premises"", ""Washer"", ""Dryer"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Pool"", ""Lockbox"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$105.00",28,1125,"t",1,1,0,"2020-03-16","2020-03-16",100,10,10,10,10,10,10,"f",1,1,0,0.09
"Cosy place with modern and charming furniture, fully equipped kitchen,  located in the Heart of Downtown Ottawa, 5min walk to Ottawa University, Byward Market, National Art Gallery, Rideau Canal, Rideau Mall, the Parliament and Shaw Centre . Very central location to discover Downtown Ottawa on foot. Most touristic places are within walking distance and tons of restaurants and bistros, cafes,  just around the corner and a big Grocery store that opens 24/7 and many more...","Very Central location and there is a lot to see just around the apartment","within an hour","100%","100%","f","Byward Market - Parliament Hill",14,14,"t","t","Rideau-Vanier",NA,45.42807,-75.68796,"Entire apartment","Entire home/apt",2,NA,1,1,"[""Coffee maker"", ""Hair dryer"", ""Cable TV"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Free street parking"", ""Keypad"", ""Refrigerator"", ""Iron"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Pocket wifi"", ""Indoor fireplace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Paid parking off premises""]","$65.00",1,1125,"t",21,15,2,"2020-01-17","2021-02-06",93,10,9,10,10,10,9,"f",14,14,0,1.6
"Enjoy a comfortable stay within walking distance to many city center attractions that welcomes guests to Canada’s capital city with thoughtful amenities within minutes from Parliaments Hill and can easily explore ByWard market, Rideau Centre and Rideau Canal. Our pet-friendly fully-furnished rooms feature flat-screen TV’s, mini-refrigerators, free standard Wi-Fi and cable TV. Guests will appreciate our walkable proximity to everything Ottawa has to offer.","","a few days or more","0%","33%","f","",1,1,"t","f","Rideau-Vanier",NA,45.43635,-75.66213,"Private room in apartment","Private room",4,NA,2,2,"[""Essentials"", ""TV"", ""Wifi"", ""Private entrance"", ""Heating"", ""Free parking on premises"", ""Long term stays allowed"", ""Shampoo"", ""Smoke alarm"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace""]","$91.00",1,1125,"t",2,1,0,"2020-01-26","2020-02-17",40,3,3,8,9,6,3,"t",1,0,1,0.16
"A private room in a bright, cozy, simple decorated townhouse with free parking in safe & silent neighborhood. here is a family house and I have a cute and friendly daughter.<br /><br />The bus stop is 5 mins walk distance away, to go to almost whole Ottawa.<br /><br />Algonquin College is 5 mins by walking as well. Going to the Downtown takes 30 minutes by bus, 15 mins by car. Easy to reach a pub, restaurants and shopping malls.","","N/A","N/A","73%","f","",0,0,"t","f","College",NA,45.34823,-75.77092,"Private room in townhouse","Private room",1,NA,1,1,"[""Essentials"", ""Free street parking"", ""Hair dryer"", ""Wifi"", ""Heating"", ""Iron"", ""Free parking on premises"", ""Shampoo"", ""Smoke alarm"", ""Air conditioning""]","$30.00",1,7,"t",17,7,0,"2020-01-13","2020-03-04",93,10,9,10,10,10,10,"f",1,0,1,1.28
"Dear guest, welcome to our peaceful home. Our house is located about five minutes walk from the public transportation (local bus). From there you can go anywhere in the city. The city centre (Rideau Center, the Pirliament and other tourist attractions) are only 30 minutes bus ride or a 12 minute drive. There are free parking on the street (one minute walk usually). Our walls are thin, so ""no noise"" after 11pm please. Thanks.<br /><br /><b>The space</b><br />It is a comfortable room with a view of greenery. Washroom and kitchen are shared. Please kindly always use headphones when you are listening to music and other stuff on phone or laptops. We are all professionals in the house, and love the calm and quiet environment please. The house has three floors. Main floor, first floor (upstairs), and Basement. Main floor, where nobody lives (Where the kitchen, small bathroom, and living room is). On upstairs or first floor, there are four rooms. On one side we have two tenants, they are reall","It is a calm and peaceful neighborhood. We have other Airbnb guests in the house and have tenants as well. It is a big five bedroom house. Everybody is very peaceful, calm and positive minded :-)","within an hour","100%","94%","f","Northeast Calgary",3,3,"t","t","Rideau-Rockcliffe",NA,45.44325,-75.62138,"Private room in townhouse","Private room",1,NA,1,1,"[""Essentials"", ""Free street parking"", ""Hair dryer"", ""Wifi"", ""Heating"", ""Iron"", ""Long term stays allowed"", ""Shampoo"", ""First aid kit"", ""Hangers"", ""Dishes and silverware"", ""Smoke alarm"", ""Lock on bedroom door"", ""Air conditioning"", ""Fire extinguisher"", ""Dedicated workspace""]","$25.00",2,1125,"t",11,5,0,"2020-01-13","2020-03-29",91,10,8,10,10,9,9,"t",2,0,2,0.83
